Date,Rates
2019-01-01,92
2019-01-02,92
2019-01-03,89
2019-01-04,85
2019-01-05,85
2019-01-06,87
2019-01-07,87
2019-01-08,87
2019-01-09,87
2019-01-10,83
2019-01-11,79
2019-01-12,78
2019-01-13,83
2019-01-14,85
2019-01-15,88
2019-01-16,88
2019-01-17,86
2019-01-18,85
2019-01-19,82
2019-01-20,76
2019-01-21,76
2019-01-22,76
2019-01-23,76
2019-01-24,76
2019-01-25,76
2019-01-26,79
2019-01-27,81
2019-01-28,83
2019-01-29,83
2019-01-30,84
2019-01-31,84
2019-02-01,81
2019-02-02,79
2019-02-03,79
2019-02-04,73
2019-02-05,72
2019-02-06,70
2019-02-07,70
2019-02-08,73
2019-02-09,73
2019-02-10,73
2019-02-11,72
2019-02-12,72
2019-02-13,68
2019-02-14,67
2019-02-15,68
2019-02-16,68
2019-02-17,70
2019-02-18,70
2019-02-19,74
2019-02-20,74
2019-02-21,74
2019-02-22,77
2019-02-23,79
2019-02-24,84
2019-02-25,74
2019-02-26,83
2019-02-27,83
2019-02-28,78
2019-03-01,73
2019-03-02,71
2019-03-03,70
2019-03-04,70
2019-03-05,75
2019-03-06,76
2019-03-07,80
2019-03-08,79
2019-03-09,79
2019-03-10,80
2019-03-11,80
2019-03-12,82
2019-03-13,80
2019-03-14,82
2019-03-15,85
2019-03-16,85
2019-03-17,90
2019-03-18,90
2019-03-19,96
2019-03-20,105
2019-03-21,109
2019-03-22,108
2019-03-23,108
2019-03-24,106
2019-03-25,105
2019-03-26,98
2019-03-27,98
2019-03-28,92
2019-03-29,92
2019-03-30,92
2019-03-31,90
2019-04-01,90
2019-04-02,95
2019-04-03,100
2019-04-04,100
2019-04-05,102
2019-04-06,104
2019-04-07,104
2019-04-08,104
2019-04-09,103
2019-04-10,99
2019-04-11,96
2019-04-12,100
2019-04-13,89
2019-04-14,89
2019-04-15,89
2019-04-16,89
2019-04-17,94
2019-04-18,94
2019-04-19,98
2019-04-20,102
2019-04-21,105
2019-04-22,105
2019-04-23,104
2019-04-24,103
2019-04-25,103
2019-04-26,102
2019-04-27,103
2019-04-28,103
2019-04-29,103
2019-04-30,103
2019-05-01,102
2019-05-02,102
2019-05-03,102
2019-05-04,102
2019-05-05,102
2019-05-06,102
2019-05-07,99
2019-05-08,102
2019-05-09,104
2019-05-10,104
2019-05-11,106
2019-05-12,106
2019-05-13,106
2019-05-14,106
2019-05-15,104
2019-05-16,104
2019-05-17,104
2019-05-18,104
2019-05-19,107
2019-05-20,107
2019-05-21,107
2019-05-22,107
2019-05-23,107
2019-05-24,105
2019-05-25,104
2019-05-26,108
2019-05-27,108
2019-05-28,105
2019-05-29,105
2019-05-30,105
2019-05-31,107
2019-06-01,109
2019-06-02,116
2019-06-03,116
2019-06-04,120
2019-06-05,126
2019-06-06,126
2019-06-07,128
2019-06-08,130
2019-06-09,130
2019-06-10,130
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-15,
2019-06-16,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-22,
2019-06-23,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-06-29,
2019-06-30,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,
2019-07-06,
2019-07-07,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-13,
2019-07-14,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-20,
2019-07-21,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-27,
2019-07-28,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,85
2019-08-02,85
2019-08-03,85
2019-08-04,85
2019-08-05,85
2019-08-06,80
2019-08-07,73
2019-08-08,73
2019-08-09,73
2019-08-10,73
2019-08-11,73
2019-08-12,66
2019-08-13,66
2019-08-14,66
2019-08-15,70
2019-08-16,72
2019-08-17,72
2019-08-18,74
2019-08-19,79
2019-08-20,79
2019-08-21,79
2019-08-22,74
2019-08-23,70
2019-08-24,70
2019-08-25,70
2019-08-26,70
2019-08-27,63
2019-08-28,63
2019-08-29,65
2019-08-30,65
2019-08-31,65
2019-09-01,65
2019-09-02,65
2019-09-03,59
2019-09-04,59
2019-09-05,62
2019-09-06,65
2019-09-07,67
2019-09-08,67
2019-09-09,67
2019-09-10,75
2019-09-11,75
2019-09-12,77
2019-09-13,77
2019-09-14,79
2019-09-15,79
2019-09-16,79
2019-09-17,84
2019-09-18,89
2019-09-19,91
2019-09-20,91
2019-09-21,91
2019-09-22,91
2019-09-23,91
2019-09-24,83
2019-09-25,83
2019-09-26,77
2019-09-27,77
2019-09-28,77
2019-09-29,79
2019-09-30,79
2019-10-01,79
2019-10-02,79
2019-10-03,79
2019-10-04,79
2019-10-05,76
2019-10-06,76
2019-10-07,76
2019-10-08,76
2019-10-09,80
2019-10-10,80
2019-10-11,80
2019-10-12,80
2019-10-13,80
2019-10-14,80
2019-10-15,80
2019-10-16,76
2019-10-17,75
2019-10-18,73
2019-10-19,73
2019-10-20,73
2019-10-21,73
2019-10-22,73
2019-10-23,77
2019-10-24,79
2019-10-25,79
2019-10-26,79
2019-10-27,79
2019-10-28,79
2019-10-29,71
2019-10-30,71
2019-10-31,73
2019-11-01,75
2019-11-02,77
2019-11-03,82
2019-11-04,82
2019-11-05,85
2019-11-06,88
2019-11-07,90
2019-11-08,90
2019-11-09,90
2019-11-10,93
2019-11-11,93
2019-11-12,93
2019-11-13,93
2019-11-14,93
2019-11-15,95
2019-11-16,95
2019-11-17,102
2019-11-18,102
2019-11-19,102
2019-11-20,102
2019-11-21,102
2019-11-22,102
2019-11-23,97
2019-11-24,97
2019-11-25,97
2019-11-26,92
2019-11-27,92
2019-11-28,94
2019-11-29,94
2019-11-30,94
2019-12-01,94
2019-12-02,94
2019-12-03,88
2019-12-04,88
2019-12-05,83
2019-12-06,83
2019-12-07,83
2019-12-08,83
2019-12-09,83
2019-12-10,80
2019-12-11,80
2019-12-12,82
2019-12-13,82
2019-12-14,85
2019-12-15,87
2019-12-16,87
2019-12-17,87
2019-12-18,90
2019-12-19,90
2019-12-20,90
2019-12-21,93
2019-12-22,93
2019-12-23,93
2019-12-24,96
